date,description,amount,transaction_type,account_name,category,source_dataset,description_clean,date_month,date_day_of_week
2018-02-24,Best Buy,174.45,debit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,best buy,2,Saturday
2019-10-08,Starbucks,98.91,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,starbucks,10,Tuesday
2018-03-12,American Tavern,52.69,credit,Checking,Shopping,aug_personal_transactions_with_UserId.csv,american tavern,3,Monday
2018-07-10,Shell,91.18,credit,Silver Card,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,shell,7,Tuesday
2019-06-27,Hardware Store,70.06,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,hardware store,6,Thursday
2018-05-26,Hardware Store,121.94,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,hardware store,5,Saturday
2019-09-30,Mortgage Payment,166.39,debit,Checking,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,mortgage payment,9,Monday
2018-07-21,Grocery Store,28.93,debit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,7,Saturday
2018-05-29,Belgian Restaurant,163.67,debit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,belgian restaurant,5,Tuesday
2018-09-12,Shell,177.79,debit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,shell,9,Wednesday
2018-07-09,Phone Company,12.92,credit,Silver Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,phone company,7,Monday
2022-05-06,Stage bad know of.,1511.29,expense,unknown,Bills & Utilities,Personal_Finance_Dataset.csv,stage bad know of,5,Friday
2018-09-17,BP,38.92,credit,Platinum Card,Shopping,aug_personal_transactions_with_UserId.csv,bp,9,Monday
2018-02-07,Grocery Store,109.82,debit,Checking,Dining,aug_personal_transactions_with_UserId.csv,grocery store,2,Wednesday
2019-05-10,Best Buy,21.39,debit,Silver Card,Electronics & Software,aug_personal_transactions_with_UserId.csv,best buy,5,Friday
2019-08-12,Grocery Store,107.01,credit,Checking,Haircut,aug_personal_transactions_with_UserId.csv,grocery store,8,Monday
2018-03-15,Biweekly Paycheck,156.89,credit,Checking,Haircut,aug_personal_transactions_with_UserId.csv,biweekly paycheck,3,Thursday
2019-10-01,Amazon,130.52,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,amazon,10,Tuesday
2023-11-21,Move goal.,3192.0,income,unknown,Investment,Personal_Finance_Dataset.csv,move goal,11,Tuesday
2018-08-23,Grocery Store,79.85,credit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,grocery store,8,Thursday
2018-11-28,Brunch Restaurant,135.46,credit,Platinum Card,Electronics & Software,aug_personal_transactions_with_UserId.csv,brunch restaurant,11,Wednesday
2018-06-10,Internet Service Provider,78.15,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,internet service provider,6,Sunday
2018-09-09,Gas Company,90.02,debit,Checking,Home Improvement,aug_personal_transactions_with_UserId.csv,gas company,9,Sunday
2018-06-29,Wendy's,21.48,debit,Platinum Card,Home Improvement,aug_personal_transactions_with_UserId.csv,wendy s,6,Friday
2023-09-04,Its develop until watch.,1170.22,expense,unknown,Dining,Personal_Finance_Dataset.csv,its develop until watch,9,Monday
2019-09-28,Japanese Restaurant,189.1,debit,Checking,Bills & Utilities,aug_personal_transactions_with_UserId.csv,japanese restaurant,9,Saturday
2019-05-10,Credit Card Payment,98.89,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,credit card payment,5,Friday
2018-06-24,Amazon,43.27,debit,Checking,Bills & Utilities,aug_personal_transactions_with_UserId.csv,amazon,6,Sunday
2018-11-28,Hardware Store,107.93,debit,Checking,Groceries,aug_personal_transactions_with_UserId.csv,hardware store,11,Wednesday
2023-10-27,General final knowledge.,609.22,expense,unknown,Dining,Personal_Finance_Dataset.csv,general final knowledge,10,Friday
2019-06-26,Grocery Store,51.75,credit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,grocery store,6,Wednesday
2019-10-25,Grocery Store,188.1,credit,Silver Card,Mobile Phone,aug_personal_transactions_with_UserId.csv,grocery store,10,Friday
2018-03-05,Mediterranean Restaurant,141.76,debit,Checking,Entertainment,aug_personal_transactions_with_UserId.csv,mediterranean restaurant,3,Monday
2018-07-07,Gas Company,73.0,credit,Checking,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,gas company,7,Saturday
2019-02-14,Netflix,143.37,credit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,netflix,2,Thursday
2019-01-20,Biweekly Paycheck,143.16,debit,Platinum Card,Entertainment,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Sunday
2019-08-05,Brewing Company,18.0,debit,Silver Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,brewing company,8,Monday
2018-08-10,BP,184.95,debit,Platinum Card,Electronics & Software,aug_personal_transactions_with_UserId.csv,bp,8,Friday
2018-08-26,Internet Service Provider,84.76,credit,Silver Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,internet service provider,8,Sunday
2018-05-12,Mortgage Payment,64.75,credit,Checking,Dining,aug_personal_transactions_with_UserId.csv,mortgage payment,5,Saturday
2019-03-15,Credit Card Payment,127.09,credit,Silver Card,Dining,aug_personal_transactions_with_UserId.csv,credit card payment,3,Friday
2019-01-21,Grocery Store,70.3,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,grocery store,1,Monday
2019-10-03,Starbucks,128.04,debit,Platinum Card,Shopping,aug_personal_transactions_with_UserId.csv,starbucks,10,Thursday
2018-11-15,Amazon,39.86,credit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,11,Thursday
2018-06-16,Credit Card Payment,105.61,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,credit card payment,6,Saturday
2021-05-17,Religious across.,480.18,expense,unknown,Bills & Utilities,Personal_Finance_Dataset.csv,religious across,5,Monday
2019-08-25,Thai Restaurant,160.03,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,thai restaurant,8,Sunday
2019-02-11,Grocery Store,108.66,credit,Checking,Coffee Shops,aug_personal_transactions_with_UserId.csv,grocery store,2,Monday
2023-04-08,Wide exactly.,548.17,expense,unknown,Shopping,Personal_Finance_Dataset.csv,wide exactly,4,Saturday
2018-10-12,Bojangles,80.13,credit,Silver Card,Home Improvement,aug_personal_transactions_with_UserId.csv,bojangles,10,Friday
2019-05-26,Biweekly Paycheck,153.56,debit,Checking,Groceries,aug_personal_transactions_with_UserId.csv,biweekly paycheck,5,Sunday
2019-08-01,State Farm,199.98,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,state farm,8,Thursday
2020-01-04,Instead ahead despite measure ago.,1185.08,expense,unknown,Mortgage & Rent,Personal_Finance_Dataset.csv,instead ahead despite measure ago,1,Saturday
2021-05-14,Stuff avoid.,1025.86,expense,unknown,Mortgage & Rent,Personal_Finance_Dataset.csv,stuff avoid,5,Friday
2018-06-26,Starbucks,134.92,credit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,starbucks,6,Tuesday
2019-02-25,Phone Company,133.72,debit,Checking,Shopping,aug_personal_transactions_with_UserId.csv,phone company,2,Monday
2019-04-28,BP,120.43,credit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,bp,4,Sunday
2019-01-06,Amazon,139.23,credit,Platinum Card,Auto Insurance,aug_personal_transactions_with_UserId.csv,amazon,1,Sunday
2019-10-19,Netflix,44.1,credit,Checking,Income,aug_personal_transactions_with_UserId.csv,netflix,10,Saturday
2018-10-29,Starbucks,43.98,credit,Checking,Entertainment,aug_personal_transactions_with_UserId.csv,starbucks,10,Monday
2018-11-23,Shell,85.14,credit,Silver Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,shell,11,Friday
2019-08-24,Amazon,84.06,debit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,8,Saturday
2019-11-25,Amazon,55.4,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,amazon,11,Monday
2019-09-27,Netflix,19.09,credit,Silver Card,Home Improvement,aug_personal_transactions_with_UserId.csv,netflix,9,Friday
2018-06-08,Biweekly Paycheck,2000.0,credit,Checking,Income,aug_personal_transactions_with_UserId.csv,biweekly paycheck,6,Friday
2018-12-30,Credit Card Payment,178.76,credit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,12,Sunday
2019-11-24,Grocery Store,29.15,debit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,11,Sunday
2018-07-01,Phone Company,52.32,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,phone company,7,Sunday
2018-05-11,Credit Card Payment,12.1,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,credit card payment,5,Friday
2019-03-18,Brewing Company,126.15,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,brewing company,3,Monday
2023-11-27,Affect machine.,1226.6,expense,unknown,Health & Fitness,Personal_Finance_Dataset.csv,affect machine,11,Monday
2019-04-30,Grocery Store,33.84,debit,Checking,Bills & Utilities,aug_personal_transactions_with_UserId.csv,grocery store,4,Tuesday
2018-12-12,Credit Card Payment,154.69,debit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,12,Wednesday
2019-04-29,Grocery Store,134.36,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,grocery store,4,Monday
2023-11-14,Floor there career.,535.61,expense,unknown,Travel,Personal_Finance_Dataset.csv,floor there career,11,Tuesday
2022-01-04,Surface side nothing consider.,1420.39,expense,unknown,Income,Personal_Finance_Dataset.csv,surface side nothing consider,1,Tuesday
2018-10-13,Credit Card Payment,135.09,credit,Platinum Card,Home Improvement,aug_personal_transactions_with_UserId.csv,credit card payment,10,Saturday
2018-02-14,Amazon,192.33,credit,Silver Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,amazon,2,Wednesday
2018-06-15,Credit Card Payment,69.45,debit,Checking,Coffee Shops,aug_personal_transactions_with_UserId.csv,credit card payment,6,Friday
2018-11-01,Phone Company,196.19,credit,Checking,Shopping,aug_personal_transactions_with_UserId.csv,phone company,11,Thursday
2019-08-08,Phone Company,99.17,credit,Checking,Shopping,aug_personal_transactions_with_UserId.csv,phone company,8,Thursday
2019-08-26,Brewing Company,32.43,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,brewing company,8,Monday
2019-08-22,American Tavern,66.03,credit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,american tavern,8,Thursday
2019-03-23,Grocery Store,37.86,credit,Silver Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,grocery store,3,Saturday
2018-07-04,Gas Company,199.47,debit,Silver Card,Home Improvement,aug_personal_transactions_with_UserId.csv,gas company,7,Wednesday
2019-06-05,Internet Service Provider,34.93,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,internet service provider,6,Wednesday
2023-04-10,Even beautiful.,1536.02,expense,unknown,Health & Fitness,Personal_Finance_Dataset.csv,even beautiful,4,Monday
2018-05-10,Brewing Company,29.63,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,brewing company,5,Thursday
2019-02-19,City Water Charges,35.0,debit,Checking,Bills & Utilities,aug_personal_transactions_with_UserId.csv,city water charges,2,Tuesday
2021-03-12,Receive case past only drug.,39.57,expense,unknown,Bills & Utilities,Personal_Finance_Dataset.csv,receive case past only drug,3,Friday
2018-12-10,Grocery Store,23.82,debit,Platinum Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,grocery store,12,Monday
2018-03-27,Brewing Company,42.12,credit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,brewing company,3,Tuesday
2019-01-07,Amazon,65.37,credit,Checking,Bills & Utilities,aug_personal_transactions_with_UserId.csv,amazon,1,Monday
2018-02-28,Amazon,75.01,credit,Silver Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,amazon,2,Wednesday
2019-07-01,Barbershop,129.89,debit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,barbershop,7,Monday
2018-12-27,Hardware Store,68.64,credit,Platinum Card,Mobile Phone,aug_personal_transactions_with_UserId.csv,hardware store,12,Thursday
2019-02-03,Credit Card Payment,141.56,debit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,2,Sunday
2019-01-26,Netflix,102.75,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,netflix,1,Saturday
2019-06-03,Go Mart,136.3,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,go mart,6,Monday
2020-02-07,Amazon,94.79,credit,Platinum Card,Auto Insurance,aug_personal_transactions_with_UserId.csv,amazon,2,Friday
2018-08-06,Grocery Store,34.33,credit,Silver Card,Dining,aug_personal_transactions_with_UserId.csv,grocery store,8,Monday
2019-06-24,QuikTrip,77.87,debit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,quiktrip,6,Monday
2019-01-04,Credit Card Payment,54.07,credit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,credit card payment,1,Friday
2018-05-02,Amazon,179.14,credit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,5,Wednesday
2019-04-22,Belgian Restaurant,192.35,credit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,belgian restaurant,4,Monday
2019-08-23,Starbucks,2.75,debit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,starbucks,8,Friday
2023-06-25,Eye something.,1683.19,expense,unknown,Dining,Personal_Finance_Dataset.csv,eye something,6,Sunday
2018-05-25,Spotify,138.81,credit,Silver Card,Entertainment,aug_personal_transactions_with_UserId.csv,spotify,5,Friday
2018-10-08,Netflix,143.94,debit,Checking,Entertainment,aug_personal_transactions_with_UserId.csv,netflix,10,Monday
2019-05-14,Hardware Store,105.02,debit,Silver Card,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,hardware store,5,Tuesday
2021-05-11,Nearly want front shake.,877.0,expense,unknown,Entertainment,Personal_Finance_Dataset.csv,nearly want front shake,5,Tuesday
2018-05-11,Thai Restaurant,187.61,debit,Platinum Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,thai restaurant,5,Friday
2023-03-15,Study fear turn any indicate.,929.47,expense,unknown,Mortgage & Rent,Personal_Finance_Dataset.csv,study fear turn any indicate,3,Wednesday
2019-11-14,Credit Card Payment,47.07,credit,Checking,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,credit card payment,11,Thursday
2018-06-14,Fancy Restaurant,102.25,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,fancy restaurant,6,Thursday
2019-04-17,Credit Card Payment,168.72,credit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,4,Wednesday
2018-11-19,Amazon,30.54,debit,Platinum Card,Entertainment,aug_personal_transactions_with_UserId.csv,amazon,11,Monday
2018-11-18,Brunch Restaurant,77.22,credit,Silver Card,Groceries,aug_personal_transactions_with_UserId.csv,brunch restaurant,11,Sunday
2022-05-02,Believe product eat generation put.,832.98,expense,unknown,Entertainment,Personal_Finance_Dataset.csv,believe product eat generation put,5,Monday
2019-04-17,Credit Card Payment,146.89,credit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,4,Wednesday
2018-07-14,City Water Charges,109.01,debit,Silver Card,Electronics & Software,aug_personal_transactions_with_UserId.csv,city water charges,7,Saturday
2019-08-30,Mediterranean Restaurant,139.29,credit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,mediterranean restaurant,8,Friday
2019-09-12,Amazon,58.24,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,9,Thursday
2018-08-20,Internet Service Provider,197.32,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,internet service provider,8,Monday
2018-09-30,Thai Restaurant,181.32,credit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,thai restaurant,9,Sunday
2023-07-05,Begin voice prevent structure wear.,2078.0,income,unknown,Investment,Personal_Finance_Dataset.csv,begin voice prevent structure wear,7,Wednesday
2018-06-29,Brunch Restaurant,23.23,debit,Checking,Home Improvement,aug_personal_transactions_with_UserId.csv,brunch restaurant,6,Friday
2019-07-09,Mexican Restaurant,71.0,credit,Platinum Card,Entertainment,aug_personal_transactions_with_UserId.csv,mexican restaurant,7,Tuesday
2018-12-19,Mexican Restaurant,182.72,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,mexican restaurant,12,Wednesday
2018-11-17,Roadside Diner,45.27,credit,Silver Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,roadside diner,11,Saturday
2020-07-11,Church community.,580.96,expense,unknown,Travel,Personal_Finance_Dataset.csv,church community,7,Saturday
2023-04-20,Day already hold.,360.44,expense,unknown,Bills & Utilities,Personal_Finance_Dataset.csv,day already hold,4,Thursday
2019-09-19,Credit Card Payment,20.21,credit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,9,Thursday
2018-12-29,Spotify,130.28,credit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,spotify,12,Saturday
2018-06-14,Amazon,123.56,debit,Platinum Card,Auto Insurance,aug_personal_transactions_with_UserId.csv,amazon,6,Thursday
2019-09-13,Netflix,62.37,debit,Checking,Dining,aug_personal_transactions_with_UserId.csv,netflix,9,Friday
2019-02-23,Grocery Store,134.1,credit,Silver Card,Dining,aug_personal_transactions_with_UserId.csv,grocery store,2,Saturday
2020-05-05,Expert involve oil.,123.76,expense,unknown,Health & Fitness,Personal_Finance_Dataset.csv,expert involve oil,5,Tuesday
2019-01-08,Mexican Restaurant,54.88,debit,Checking,Auto Insurance,aug_personal_transactions_with_UserId.csv,mexican restaurant,1,Tuesday
2019-05-19,Grocery Store,6.28,credit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,5,Sunday
2018-04-10,QuikTrip,155.53,debit,Platinum Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,quiktrip,4,Tuesday
2019-09-30,Gas Company,188.61,credit,Silver Card,Groceries,aug_personal_transactions_with_UserId.csv,gas company,9,Monday
2018-08-25,Netflix,138.13,debit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,netflix,8,Saturday
2018-11-07,Brunch Restaurant,12.93,debit,Checking,Gas & Fuel,aug_personal_transactions_with_UserId.csv,brunch restaurant,11,Wednesday
2018-02-12,Credit Card Payment,52.29,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,credit card payment,2,Monday
2019-04-23,Hardware Store,29.56,debit,Silver Card,Home Improvement,aug_personal_transactions_with_UserId.csv,hardware store,4,Tuesday
2019-01-05,Chick-Fil-A,82.3,debit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,chick fil a,1,Saturday
2018-11-05,Shell,151.58,credit,Checking,Groceries,aug_personal_transactions_with_UserId.csv,shell,11,Monday
2019-01-12,Mortgage Payment,45.71,debit,Silver Card,Dining,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Saturday
2019-10-12,Power Company,14.16,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,power company,10,Saturday
2019-09-07,Grocery Store,132.45,credit,Checking,Dining,aug_personal_transactions_with_UserId.csv,grocery store,9,Saturday
2019-10-24,Grocery Store,130.12,credit,Checking,Shopping,aug_personal_transactions_with_UserId.csv,grocery store,10,Thursday
2019-08-17,American Tavern,50.98,credit,Checking,Coffee Shops,aug_personal_transactions_with_UserId.csv,american tavern,8,Saturday
2018-03-05,Wendy's,35.86,debit,Platinum Card,Haircut,aug_personal_transactions_with_UserId.csv,wendy s,3,Monday
2019-04-13,Credit Card Payment,90.43,debit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,4,Saturday
2019-08-15,Credit Card Payment,78.56,debit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,credit card payment,8,Thursday
2018-09-05,Biweekly Paycheck,190.18,credit,Silver Card,Dining,aug_personal_transactions_with_UserId.csv,biweekly paycheck,9,Wednesday
2019-08-09,Amazon,157.45,debit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,8,Friday
2018-06-28,BP,136.47,debit,Platinum Card,Coffee Shops,aug_personal_transactions_with_UserId.csv,bp,6,Thursday
2018-03-23,Grocery Store,12.48,debit,Checking,Entertainment,aug_personal_transactions_with_UserId.csv,grocery store,3,Friday
2019-10-28,Grocery Store,190.92,debit,Checking,Income,aug_personal_transactions_with_UserId.csv,grocery store,10,Monday
2018-05-13,Power Company,67.72,debit,Silver Card,Bills & Utilities,aug_personal_transactions_with_UserId.csv,power company,5,Sunday
2018-06-24,Hardware Store,198.43,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,hardware store,6,Sunday
2019-03-23,Power Company,152.12,debit,Checking,Mobile Phone,aug_personal_transactions_with_UserId.csv,power company,3,Saturday
2019-07-31,Credit Card Payment,50.87,debit,Checking,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,7,Wednesday
2024-09-23,Ten skin perhaps.,3085.0,income,unknown,Other,Personal_Finance_Dataset.csv,ten skin perhaps,9,Monday
2019-08-19,Shell,15.55,credit,Platinum Card,Auto Insurance,aug_personal_transactions_with_UserId.csv,shell,8,Monday
2023-08-10,Mission include visit.,2313.0,income,unknown,Investment,Personal_Finance_Dataset.csv,mission include visit,8,Thursday
2019-06-29,Thai Restaurant,101.07,credit,Silver Card,Credit Card Payment,aug_personal_transactions_with_UserId.csv,thai restaurant,6,Saturday
2018-12-30,Amazon,172.62,debit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,amazon,12,Sunday
2018-10-20,Credit Card Payment,33.86,credit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,10,Saturday
2018-03-17,Gas Company,48.8,debit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,gas company,3,Saturday
2018-03-20,Amazon,14.97,debit,Platinum Card,Shopping,aug_personal_transactions_with_UserId.csv,amazon,3,Tuesday
2018-01-27,Mortgage Payment,184.6,debit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Saturday
2019-09-04,Movie Theater,104.58,debit,Silver Card,Entertainment,aug_personal_transactions_with_UserId.csv,movie theater,9,Wednesday
2018-08-03,Power Company,69.25,debit,Platinum Card,Mobile Phone,aug_personal_transactions_with_UserId.csv,power company,8,Friday
2020-08-26,Yeah far within.,1564.65,expense,unknown,Mortgage & Rent,Personal_Finance_Dataset.csv,yeah far within,8,Wednesday
2019-01-21,Starbucks,108.81,debit,Silver Card,Mobile Phone,aug_personal_transactions_with_UserId.csv,starbucks,1,Monday
2018-08-09,Grocery Store,167.06,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,grocery store,8,Thursday
2019-08-29,Amazon,120.05,credit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,amazon,8,Thursday
2020-07-04,State husband.,1442.31,expense,unknown,Mortgage & Rent,Personal_Finance_Dataset.csv,state husband,7,Saturday
2019-07-02,Grocery Store,69.24,credit,Platinum Card,Dining,aug_personal_transactions_with_UserId.csv,grocery store,7,Tuesday
2018-07-30,City Water Charges,61.75,credit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,city water charges,7,Monday
2018-06-16,State Farm,154.81,credit,Checking,Entertainment,aug_personal_transactions_with_UserId.csv,state farm,6,Saturday
2021-03-20,Expect writer myself management.,1375.33,expense,unknown,Shopping,Personal_Finance_Dataset.csv,expect writer myself management,3,Saturday
2018-03-07,Steakhouse,197.81,credit,Platinum Card,Income,aug_personal_transactions_with_UserId.csv,steakhouse,3,Wednesday
2019-06-10,Spotify,158.21,credit,Platinum Card,Groceries,aug_personal_transactions_with_UserId.csv,spotify,6,Monday
2018-07-10,Internet Service Provider,15.64,debit,Checking,Credit Card Payment,aug_personal_transactions_with_UserId.csv,internet service provider,7,Tuesday
2018-12-15,Spotify,57.12,debit,Silver Card,Groceries,aug_personal_transactions_with_UserId.csv,spotify,12,Saturday
2019-01-10,BP,8.6,debit,Platinum Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,bp,1,Thursday
2018-09-13,Brewing Company,28.78,credit,Silver Card,Gas & Fuel,aug_personal_transactions_with_UserId.csv,brewing company,9,Thursday
