date,description,amount,category,source_dataset,description_clean,date_month,date_day_of_week
2018-01-26,City Water Charges,138.83,Groceries,aug_personal_transactions_with_UserId.csv,city water charges,1,Friday
2018-01-26,Grocery Store,72.03,Shopping,aug_personal_transactions_with_UserId.csv,grocery store,1,Friday
2018-01-26,Movie Theater,165.12,Auto Insurance,aug_personal_transactions_with_UserId.csv,movie theater,1,Friday
2018-01-26,Power Company,36.28,Auto Insurance,aug_personal_transactions_with_UserId.csv,power company,1,Friday
2018-01-26,Shell,94.92,Home Improvement,aug_personal_transactions_with_UserId.csv,shell,1,Friday
2018-01-27,BP,14.97,Music,aug_personal_transactions_with_UserId.csv,bp,1,Saturday
2018-01-27,Credit Card Payment,36.94,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Saturday
2018-01-27,Gas Company,138.29,Music,aug_personal_transactions_with_UserId.csv,gas company,1,Saturday
2018-01-27,Mortgage Payment,184.6,Credit Card Payment,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Saturday
2018-01-28,Biweekly Paycheck,63.4,Home Improvement,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Sunday
2018-01-28,Credit Card Payment,178.01,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,1,Sunday
2018-01-28,Gas Company,48.84,Gas & Fuel,aug_personal_transactions_with_UserId.csv,gas company,1,Sunday
2018-01-28,Power Company,155.47,Paycheck,aug_personal_transactions_with_UserId.csv,power company,1,Sunday
2018-01-29,Biweekly Paycheck,11.37,Restaurants,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Monday
2018-01-29,Brunch Restaurant,17.62,Restaurants,aug_personal_transactions_with_UserId.csv,brunch restaurant,1,Monday
2018-01-29,Mortgage Payment,97.09,Paycheck,aug_personal_transactions_with_UserId.csv,mortgage payment,1,Monday
2018-01-29,Shell,30.42,Gas & Fuel,aug_personal_transactions_with_UserId.csv,shell,1,Monday
2018-01-29,Spotify,114.24,Shopping,aug_personal_transactions_with_UserId.csv,spotify,1,Monday
2018-01-29,Thai Restaurant,25.0,Restaurants,aug_personal_transactions_with_UserId.csv,thai restaurant,1,Monday
2018-01-30,American Tavern,113.24,Restaurants,aug_personal_transactions_with_UserId.csv,american tavern,1,Tuesday
2018-01-30,Best Buy,188.04,Credit Card Payment,aug_personal_transactions_with_UserId.csv,best buy,1,Tuesday
2018-01-30,Biweekly Paycheck,45.27,Movies & Dvds,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Tuesday
2018-01-30,Biweekly Paycheck,183.33,Credit Card Payment,aug_personal_transactions_with_UserId.csv,biweekly paycheck,1,Tuesday
2018-01-30,BP,170.42,Paycheck,aug_personal_transactions_with_UserId.csv,bp,1,Tuesday
2018-01-30,Brewing Company,83.78,Restaurants,aug_personal_transactions_with_UserId.csv,brewing company,1,Tuesday
2018-01-30,City Water Charges,159.02,Credit Card Payment,aug_personal_transactions_with_UserId.csv,city water charges,1,Tuesday
2018-01-30,Credit Card Payment,87.71,Music,aug_personal_transactions_with_UserId.csv,credit card payment,1,Tuesday
2018-01-30,Grocery Store,192.01,Haircut,aug_personal_transactions_with_UserId.csv,grocery store,1,Tuesday
2018-01-30,Spotify,14.91,Credit Card Payment,aug_personal_transactions_with_UserId.csv,spotify,1,Tuesday
2018-01-31,Gas Company,43.96,Bills & Utilities,aug_personal_transactions_with_UserId.csv,gas company,1,Wednesday
2018-01-31,Grocery Store,133.74,Restaurants,aug_personal_transactions_with_UserId.csv,grocery store,1,Wednesday
2018-01-31,Grocery Store,101.62,Internet,aug_personal_transactions_with_UserId.csv,grocery store,1,Wednesday
2018-01-31,Internet Service Provider,102.09,Shopping,aug_personal_transactions_with_UserId.csv,internet service provider,1,Wednesday
2018-02-01,Amazon,11.11,Shopping,aug_personal_transactions_with_UserId.csv,amazon,2,Thursday
2018-02-01,Amazon,164.1,Credit Card Payment,aug_personal_transactions_with_UserId.csv,amazon,2,Thursday
2018-02-01,Credit Card Payment,166.9,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Thursday
2018-02-01,Credit Card Payment,100.56,Restaurants,aug_personal_transactions_with_UserId.csv,credit card payment,2,Thursday
2018-02-01,Credit Card Payment,111.18,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,2,Thursday
2018-02-01,Grocery Store,27.79,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,2,Thursday
2018-02-01,Grocery Store,168.13,Bills & Utilities,aug_personal_transactions_with_UserId.csv,grocery store,2,Thursday
2018-02-01,Hardware Store,177.36,Groceries,aug_personal_transactions_with_UserId.csv,hardware store,2,Thursday
2018-02-01,Netflix,147.16,Internet,aug_personal_transactions_with_UserId.csv,netflix,2,Thursday
2018-02-02,Biweekly Paycheck,2000.0,Paycheck,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Friday
2018-02-02,Biweekly Paycheck,142.62,Shopping,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Friday
2018-02-02,Brewing Company,35.52,Credit Card Payment,aug_personal_transactions_with_UserId.csv,brewing company,2,Friday
2018-02-02,Gas Company,91.09,Groceries,aug_personal_transactions_with_UserId.csv,gas company,2,Friday
2018-02-02,Grocery Store,22.5,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,2,Friday
2018-02-02,Italian Restaurant,182.38,Movies & Dvds,aug_personal_transactions_with_UserId.csv,italian restaurant,2,Friday
2018-02-02,Mortgage Payment,1247.44,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,mortgage payment,2,Friday
2018-02-03,Amazon,169.24,Coffee Shops,aug_personal_transactions_with_UserId.csv,amazon,2,Saturday
2018-02-03,American Tavern,72.39,Groceries,aug_personal_transactions_with_UserId.csv,american tavern,2,Saturday
2018-02-03,Barbershop,30.64,Shopping,aug_personal_transactions_with_UserId.csv,barbershop,2,Saturday
2018-02-03,Biweekly Paycheck,190.91,Restaurants,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Saturday
2018-02-03,Credit Card Payment,30.66,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,2,Saturday
2018-02-03,Grocery Store,129.15,Restaurants,aug_personal_transactions_with_UserId.csv,grocery store,2,Saturday
2018-02-03,Hardware Store,172.41,Credit Card Payment,aug_personal_transactions_with_UserId.csv,hardware store,2,Saturday
2018-02-03,Internet Service Provider,56.69,Coffee Shops,aug_personal_transactions_with_UserId.csv,internet service provider,2,Saturday
2018-02-03,Japanese Restaurant,57.02,Restaurants,aug_personal_transactions_with_UserId.csv,japanese restaurant,2,Saturday
2018-02-03,Latin Restaurant,183.02,Haircut,aug_personal_transactions_with_UserId.csv,latin restaurant,2,Saturday
2018-02-03,Mediterranean Restaurant,66.98,Groceries,aug_personal_transactions_with_UserId.csv,mediterranean restaurant,2,Saturday
2018-02-04,Biweekly Paycheck,76.34,Groceries,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Sunday
2018-02-04,Brunch Restaurant,76.69,Shopping,aug_personal_transactions_with_UserId.csv,brunch restaurant,2,Sunday
2018-02-04,Credit Card Payment,50.39,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,2,Sunday
2018-02-04,Gas Company,53.0,Gas & Fuel,aug_personal_transactions_with_UserId.csv,gas company,2,Sunday
2018-02-04,Internet Service Provider,110.41,Fast Food,aug_personal_transactions_with_UserId.csv,internet service provider,2,Sunday
2018-02-04,Japanese Restaurant,185.68,Auto Insurance,aug_personal_transactions_with_UserId.csv,japanese restaurant,2,Sunday
2018-02-04,Mortgage Payment,121.8,Groceries,aug_personal_transactions_with_UserId.csv,mortgage payment,2,Sunday
2018-02-04,Netflix,11.76,Movies & Dvds,aug_personal_transactions_with_UserId.csv,netflix,2,Sunday
2018-02-04,Netflix,90.6,Shopping,aug_personal_transactions_with_UserId.csv,netflix,2,Sunday
2018-02-05,BP,196.21,Television,aug_personal_transactions_with_UserId.csv,bp,2,Monday
2018-02-05,Chick-Fil-A,33.84,Television,aug_personal_transactions_with_UserId.csv,chick fil a,2,Monday
2018-02-05,City Water Charges,150.47,Movies & Dvds,aug_personal_transactions_with_UserId.csv,city water charges,2,Monday
2018-02-05,City Water Charges,44.32,Credit Card Payment,aug_personal_transactions_with_UserId.csv,city water charges,2,Monday
2018-02-05,Credit Card Payment,145.14,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Monday
2018-02-05,Gas Company,44.3,Music,aug_personal_transactions_with_UserId.csv,gas company,2,Monday
2018-02-05,Hardware Store,177.86,Groceries,aug_personal_transactions_with_UserId.csv,hardware store,2,Monday
2018-02-05,Mortgage Payment,22.82,Haircut,aug_personal_transactions_with_UserId.csv,mortgage payment,2,Monday
2018-02-05,Netflix,125.09,Auto Insurance,aug_personal_transactions_with_UserId.csv,netflix,2,Monday
2018-02-05,Spotify,1.94,Restaurants,aug_personal_transactions_with_UserId.csv,spotify,2,Monday
2018-02-05,Starbucks,180.52,Shopping,aug_personal_transactions_with_UserId.csv,starbucks,2,Monday
2018-02-06,American Tavern,90.46,Home Improvement,aug_personal_transactions_with_UserId.csv,american tavern,2,Tuesday
2018-02-06,Brunch Restaurant,30.81,Groceries,aug_personal_transactions_with_UserId.csv,brunch restaurant,2,Tuesday
2018-02-06,Credit Card Payment,154.13,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Tuesday
2018-02-06,Credit Card Payment,134.2,Restaurants,aug_personal_transactions_with_UserId.csv,credit card payment,2,Tuesday
2018-02-06,Credit Card Payment,24.38,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Tuesday
2018-02-06,Gas Company,101.14,Restaurants,aug_personal_transactions_with_UserId.csv,gas company,2,Tuesday
2018-02-06,Grocery Store,112.46,Gas & Fuel,aug_personal_transactions_with_UserId.csv,grocery store,2,Tuesday
2018-02-06,Netflix,72.06,Bills & Utilities,aug_personal_transactions_with_UserId.csv,netflix,2,Tuesday
2018-02-06,State Farm,125.97,Shopping,aug_personal_transactions_with_UserId.csv,state farm,2,Tuesday
2018-02-07,American Tavern,168.76,Groceries,aug_personal_transactions_with_UserId.csv,american tavern,2,Wednesday
2018-02-07,Biweekly Paycheck,175.31,Groceries,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Wednesday
2018-02-07,Credit Card Payment,154.13,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Wednesday
2018-02-07,Gas Company,65.0,Bills & Utilities,aug_personal_transactions_with_UserId.csv,gas company,2,Wednesday
2018-02-07,Grocery Store,109.82,Restaurants,aug_personal_transactions_with_UserId.csv,grocery store,2,Wednesday
2018-02-07,Movie Theater,50.04,Gas & Fuel,aug_personal_transactions_with_UserId.csv,movie theater,2,Wednesday
2018-02-07,Starbucks,127.0,Groceries,aug_personal_transactions_with_UserId.csv,starbucks,2,Wednesday
2018-02-08,American Tavern,185.04,Haircut,aug_personal_transactions_with_UserId.csv,american tavern,2,Thursday
2018-02-08,Credit Card Payment,199.59,Restaurants,aug_personal_transactions_with_UserId.csv,credit card payment,2,Thursday
2018-02-08,Credit Card Payment,106.48,Internet,aug_personal_transactions_with_UserId.csv,credit card payment,2,Thursday
2018-02-08,Grocery Store,37.68,Groceries,aug_personal_transactions_with_UserId.csv,grocery store,2,Thursday
2018-02-08,Hardware Store,97.42,Restaurants,aug_personal_transactions_with_UserId.csv,hardware store,2,Thursday
2018-02-08,Netflix,9.8,Groceries,aug_personal_transactions_with_UserId.csv,netflix,2,Thursday
2018-02-08,Starbucks,139.18,Shopping,aug_personal_transactions_with_UserId.csv,starbucks,2,Thursday
2018-02-09,Barbershop,30.0,Haircut,aug_personal_transactions_with_UserId.csv,barbershop,2,Friday
2018-02-09,Biweekly Paycheck,96.79,Bills & Utilities,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Friday
2018-02-09,Brunch Restaurant,13.92,Auto Insurance,aug_personal_transactions_with_UserId.csv,brunch restaurant,2,Friday
2018-02-09,Grocery Store,87.23,Mobile Phone,aug_personal_transactions_with_UserId.csv,grocery store,2,Friday
2018-02-09,Grocery Store,107.02,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,2,Friday
2018-02-09,Spotify,10.69,Music,aug_personal_transactions_with_UserId.csv,spotify,2,Friday
2018-02-09,Starbucks,27.31,Gas & Fuel,aug_personal_transactions_with_UserId.csv,starbucks,2,Friday
2018-02-10,American Tavern,31.02,Restaurants,aug_personal_transactions_with_UserId.csv,american tavern,2,Saturday
2018-02-10,Bojangles,10.66,Fast Food,aug_personal_transactions_with_UserId.csv,bojangles,2,Saturday
2018-02-10,BP,170.14,Paycheck,aug_personal_transactions_with_UserId.csv,bp,2,Saturday
2018-02-10,Credit Card Payment,192.12,Shopping,aug_personal_transactions_with_UserId.csv,credit card payment,2,Saturday
2018-02-10,Fancy Restaurant,39.28,Credit Card Payment,aug_personal_transactions_with_UserId.csv,fancy restaurant,2,Saturday
2018-02-10,Grocery Store,52.21,Shopping,aug_personal_transactions_with_UserId.csv,grocery store,2,Saturday
2018-02-10,Grocery Store,111.22,Restaurants,aug_personal_transactions_with_UserId.csv,grocery store,2,Saturday
2018-02-10,Starbucks,165.01,Groceries,aug_personal_transactions_with_UserId.csv,starbucks,2,Saturday
2018-02-11,Fancy Restaurant,106.8,Restaurants,aug_personal_transactions_with_UserId.csv,fancy restaurant,2,Sunday
2018-02-11,Grocery Store,68.88,Coffee Shops,aug_personal_transactions_with_UserId.csv,grocery store,2,Sunday
2018-02-11,Grocery Store,149.19,Fast Food,aug_personal_transactions_with_UserId.csv,grocery store,2,Sunday
2018-02-11,Power Company,137.59,Gas & Fuel,aug_personal_transactions_with_UserId.csv,power company,2,Sunday
2018-02-12,Barbershop,157.28,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,barbershop,2,Monday
2018-02-12,Belgian Restaurant,175.66,Gas & Fuel,aug_personal_transactions_with_UserId.csv,belgian restaurant,2,Monday
2018-02-12,Biweekly Paycheck,182.04,Gas & Fuel,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Monday
2018-02-12,Credit Card Payment,15.9,Credit Card Payment,aug_personal_transactions_with_UserId.csv,credit card payment,2,Monday
2018-02-12,Credit Card Payment,52.29,Fast Food,aug_personal_transactions_with_UserId.csv,credit card payment,2,Monday
2018-02-12,Credit Card Payment,198.09,Groceries,aug_personal_transactions_with_UserId.csv,credit card payment,2,Monday
2018-02-12,Phone Company,89.52,Mobile Phone,aug_personal_transactions_with_UserId.csv,phone company,2,Monday
2018-02-12,Phone Company,7.36,Gas & Fuel,aug_personal_transactions_with_UserId.csv,phone company,2,Monday
2018-02-12,Roadside Diner,178.07,Restaurants,aug_personal_transactions_with_UserId.csv,roadside diner,2,Monday
2018-02-12,Shell,36.47,Gas & Fuel,aug_personal_transactions_with_UserId.csv,shell,2,Monday
2018-02-12,Valero,111.72,Groceries,aug_personal_transactions_with_UserId.csv,valero,2,Monday
2018-02-13,Biweekly Paycheck,48.86,Groceries,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Tuesday
2018-02-13,Biweekly Paycheck,48.66,Credit Card Payment,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Tuesday
2018-02-13,Biweekly Paycheck,82.65,Shopping,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Tuesday
2018-02-13,Brewing Company,19.66,Restaurants,aug_personal_transactions_with_UserId.csv,brewing company,2,Tuesday
2018-02-13,Brunch Restaurant,199.93,Coffee Shops,aug_personal_transactions_with_UserId.csv,brunch restaurant,2,Tuesday
2018-02-13,Credit Card Payment,64.77,Shopping,aug_personal_transactions_with_UserId.csv,credit card payment,2,Tuesday
2018-02-13,Credit Card Payment,83.19,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,2,Tuesday
2018-02-13,Grocery Store,112.66,Credit Card Payment,aug_personal_transactions_with_UserId.csv,grocery store,2,Tuesday
2018-02-13,Spotify,179.1,Bills & Utilities,aug_personal_transactions_with_UserId.csv,spotify,2,Tuesday
2018-02-13,Spotify,121.65,Credit Card Payment,aug_personal_transactions_with_UserId.csv,spotify,2,Tuesday
2018-02-14,Amazon,192.33,Bills & Utilities,aug_personal_transactions_with_UserId.csv,amazon,2,Wednesday
2018-02-14,Biweekly Paycheck,32.5,Restaurants,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Wednesday
2018-02-14,Biweekly Paycheck,176.24,Shopping,aug_personal_transactions_with_UserId.csv,biweekly paycheck,2,Wednesday
2018-02-14,Brewing Company,14.0,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,brewing company,2,Wednesday
2018-02-14,Credit Card Payment,137.11,Gas & Fuel,aug_personal_transactions_with_UserId.csv,credit card payment,2,Wednesday
2018-02-14,Gas Company,107.59,Alcohol & Bars,aug_personal_transactions_with_UserId.csv,gas company,2,Wednesday
2018-02-14,Grocery Store,121.88,Shopping,aug_personal_transactions_with_UserId.csv,grocery store,2,Wednesday
2018-02-14,Internet Service Provider,48.62,Restaurants,aug_personal_transactions_with_UserId.csv,internet service provider,2,Wednesday
2018-02-14,Phone Company,22.61,Credit Card Payment,aug_personal_transactions_with_UserId.csv,phone company,2,Wednesday
2018-02-14,Spotify,169.73,Mortgage & Rent,aug_personal_transactions_with_UserId.csv,spotify,2,Wednesday
